"Key","Title","Description","Municipality","DetailRegionCode"
"BU16800400","Anderen","Buurt 'Anderen' (BU16800400) is een buurt in wijk 'Wijk 04 Anderen' in de gemeente 'Aa en Hunze'.","GM1680","BU16800400"
"BU16800409","Verspreide huizen Anderen","Buurt 'Verspreide huizen Anderen' (BU16800409) is een buurt in wijk 'Wijk 04 Anderen' in de gemeente 'Aa en Hunze'.","GM1680","BU16800409"
"WK168005  ","Wijk 05 Schipborg","Wijk 'Wijk 05 Schipborg' (WK168005) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168005"
"BU16800500","Schipborg","Buurt 'Schipborg' (BU16800500) is een buurt in wijk 'Wijk 05 Schipborg' in de gemeente 'Aa en Hunze'.","GM1680","BU16800500"
"BU16800509","Verspreide huizen Schipborg","Buurt 'Verspreide huizen Schipborg' (BU16800509) is een buurt in wijk 'Wijk 05 Schipborg' in de gemeente 'Aa en Hunze'.","GM1680","BU16800509"
"WK168006  ","Wijk 06 Eexterveen","Wijk 'Wijk 06 Eexterveen' (WK168006) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168006"
"BU16800600","Eexterveen","Buurt 'Eexterveen' (BU16800600) is een buurt in wijk 'Wijk 06 Eexterveen' in de gemeente 'Aa en Hunze'.","GM1680","BU16800600"
"BU16800609","Verspreide huizen Eexterveen","Buurt 'Verspreide huizen Eexterveen' (BU16800609) is een buurt in wijk 'Wijk 06 Eexterveen' in de gemeente 'Aa en Hunze'.","GM1680","BU16800609"
"WK168007  ","Wijk 07 Spijkerboor","Wijk 'Wijk 07 Spijkerboor' (WK168007) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168007"
"BU16800700","Spijkerboor","Buurt 'Spijkerboor' (BU16800700) is een buurt in wijk 'Wijk 07 Spijkerboor' in de gemeente 'Aa en Hunze'.","GM1680","BU16800700"
"BU16800709","Verspreide huizen Spijkerboor","Buurt 'Verspreide huizen Spijkerboor' (BU16800709) is een buurt in wijk 'Wijk 07 Spijkerboor' in de gemeente 'Aa en Hunze'.","GM1680","BU16800709"
"WK168008  ","Wijk 08 Nieuw-Annerveen","Wijk 'Wijk 08 Nieuw-Annerveen' (WK168008) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168008"
"BU16800800","Nieuw-Annerveen","Buurt 'Nieuw-Annerveen' (BU16800800) is een buurt in wijk 'Wijk 08 Nieuw-Annerveen' in de gemeente 'Aa en Hunze'.","GM1680","BU16800800"
"BU16800809","Verspreide huizen Nieuw-Annerveen","Buurt 'Verspreide huizen Nieuw-Annerveen' (BU16800809) is een buurt in wijk 'Wijk 08 Nieuw-Annerveen' in de gemeente 'Aa en Hunze'.","GM1680","BU16800809"
"WK168009  ","Wijk 09 Oud-Annerveen","Wijk 'Wijk 09 Oud-Annerveen' (WK168009) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168009"
"BU16800900","Oud-Annerveen","Buurt 'Oud-Annerveen' (BU16800900) is een buurt in wijk 'Wijk 09 Oud-Annerveen' in de gemeente 'Aa en Hunze'.","GM1680","BU16800900"
"BU16800909","Verspreide huizen Oud-Annerveen","Buurt 'Verspreide huizen Oud-Annerveen' (BU16800909) is een buurt in wijk 'Wijk 09 Oud-Annerveen' in de gemeente 'Aa en Hunze'.","GM1680","BU16800909"
"WK168011  ","Wijk 11 Annerveenschekanaal","Wijk 'Wijk 11 Annerveenschekanaal' (WK168011) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168011"
"BU16801100","Annerveenschekanaal","Buurt 'Annerveenschekanaal' (BU16801100) is een buurt in wijk 'Wijk 11 Annerveenschekanaal' in de gemeente 'Aa en Hunze'.","GM1680","BU16801100"
"BU16801109","Verspreide huizen Annerveenschekanaal","Buurt 'Verspreide huizen Annerveenschekanaal' (BU16801109) is een buurt in wijk 'Wijk 11 Annerveenschekanaal' in de gemeente 'Aa en Hunze'.","GM1680","BU16801109"
"WK168012  ","Wijk 12 Eexterveenschekanaal","Wijk 'Wijk 12 Eexterveenschekanaal' (WK168012) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168012"
"BU16801200","Eexterveenschekanaal","Buurt 'Eexterveenschekanaal' (BU16801200) is een buurt in wijk 'Wijk 12 Eexterveenschekanaal' in de gemeente 'Aa en Hunze'.","GM1680","BU16801200"
"BU16801209","Verspreide huizen Eexterveenschekanaal","Buurt 'Verspreide huizen Eexterveenschekanaal' (BU16801209) is een buurt in wijk 'Wijk 12 Eexterveenschekanaal' in de gemeente 'Aa en Hunze'.","GM1680","BU16801209"
"WK168013  ","Wijk 13 Eexterzandvoort","Wijk 'Wijk 13 Eexterzandvoort' (WK168013) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168013"
"BU16801300","Eexterzandvoort","Buurt 'Eexterzandvoort' (BU16801300) is een buurt in wijk 'Wijk 13 Eexterzandvoort' in de gemeente 'Aa en Hunze'.","GM1680","BU16801300"
"BU16801309","Verspreide huizen Eexterzandvoort","Buurt 'Verspreide huizen Eexterzandvoort' (BU16801309) is een buurt in wijk 'Wijk 13 Eexterzandvoort' in de gemeente 'Aa en Hunze'.","GM1680","BU16801309"
"WK168014  ","Wijk 14 Gasselte","Wijk 'Wijk 14 Gasselte' (WK168014) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168014"
"BU16801400","Gasselte","Buurt 'Gasselte' (BU16801400) is een buurt in wijk 'Wijk 14 Gasselte' in de gemeente 'Aa en Hunze'.","GM1680","BU16801400"
"BU16801401","Kostvlies","Buurt 'Kostvlies' (BU16801401) is een buurt in wijk 'Wijk 14 Gasselte' in de gemeente 'Aa en Hunze'.","GM1680","BU16801401"
"BU16801409","Verspreide huizen Gasselte","Buurt 'Verspreide huizen Gasselte' (BU16801409) is een buurt in wijk 'Wijk 14 Gasselte' in de gemeente 'Aa en Hunze'.","GM1680","BU16801409"
"WK168015  ","Wijk 15 Gasselternijveen","Wijk 'Wijk 15 Gasselternijveen' (WK168015) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168015"
"BU16801500","Gasselternijveen","Buurt 'Gasselternijveen' (BU16801500) is een buurt in wijk 'Wijk 15 Gasselternijveen' in de gemeente 'Aa en Hunze'.","GM1680","BU16801500"
"BU16801501","Gasselterboerveen","Buurt 'Gasselterboerveen' (BU16801501) is een buurt in wijk 'Wijk 15 Gasselternijveen' in de gemeente 'Aa en Hunze'.","GM1680","BU16801501"
"BU16801509","Verspreide huizen Gasselternijveen","Buurt 'Verspreide huizen Gasselternijveen' (BU16801509) is een buurt in wijk 'Wijk 15 Gasselternijveen' in de gemeente 'Aa en Hunze'.","GM1680","BU16801509"
"WK168016  ","Wijk 16 Gasselternijveenschemond","Wijk 'Wijk 16 Gasselternijveenschemond' (WK168016) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168016"
"BU16801600","Gasselternijveenschemond","Buurt 'Gasselternijveenschemond' (BU16801600) is een buurt in wijk 'Wijk 16 Gasselternijveenschemond' in de gemeente 'Aa en Hunze'.","GM1680","BU16801600"
"BU16801601","Gasselterboerveenschemond","Buurt 'Gasselterboerveenschemond' (BU16801601) is een buurt in wijk 'Wijk 16 Gasselternijveenschemond' in de gemeente 'Aa en Hunze'.","GM1680","BU16801601"
"BU16801609","Verspr.h. Gasselternijveenschemond","Buurt 'Verspreide huizen Gasselternijveenschemond' (BU16801609) is een buurt in wijk 'Wijk 16 Gasselternijveenschemond' in de gemeente 'Aa en Hunze'.","GM1680","BU16801609"
"WK168017  ","Wijk 17 Gieten","Wijk 'Wijk 17 Gieten' (WK168017) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168017"
"BU16801700","Gieten","Buurt 'Gieten' (BU16801700) is een buurt in wijk 'Wijk 17 Gieten' in de gemeente 'Aa en Hunze'.","GM1680","BU16801700"
"BU16801709","Verspreide huizen Gieten","Buurt 'Verspreide huizen Gieten' (BU16801709) is een buurt in wijk 'Wijk 17 Gieten' in de gemeente 'Aa en Hunze'.","GM1680","BU16801709"
"WK168018  ","Wijk 18 Gieterveen","Wijk 'Wijk 18 Gieterveen' (WK168018) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168018"
"BU16801800","Gieterveen","Buurt 'Gieterveen' (BU16801800) is een buurt in wijk 'Wijk 18 Gieterveen' in de gemeente 'Aa en Hunze'.","GM1680","BU16801800"
"BU16801801","Bonnerveen","Buurt 'Bonnerveen' (BU16801801) is een buurt in wijk 'Wijk 18 Gieterveen' in de gemeente 'Aa en Hunze'.","GM1680","BU16801801"
"BU16801802","Nieuwediep","Buurt 'Nieuwediep' (BU16801802) is een buurt in wijk 'Wijk 18 Gieterveen' in de gemeente 'Aa en Hunze'.","GM1680","BU16801802"
"BU16801809","Verspreide huizen Gieterveen","Buurt 'Verspreide huizen Gieterveen' (BU16801809) is een buurt in wijk 'Wijk 18 Gieterveen' in de gemeente 'Aa en Hunze'.","GM1680","BU16801809"
"WK168019  ","Wijk 19 Rolde","Wijk 'Wijk 19 Rolde' (WK168019) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168019"
"BU16801900","Rolde","Buurt 'Rolde' (BU16801900) is een buurt in wijk 'Wijk 19 Rolde' in de gemeente 'Aa en Hunze'.","GM1680","BU16801900"
"BU16801901","Ballo","Buurt 'Ballo' (BU16801901) is een buurt in wijk 'Wijk 19 Rolde' in de gemeente 'Aa en Hunze'.","GM1680","BU16801901"
"BU16801902","Nijlande","Buurt 'Nijlande' (BU16801902) is een buurt in wijk 'Wijk 19 Rolde' in de gemeente 'Aa en Hunze'.","GM1680","BU16801902"
"BU16801903","Deurze","Buurt 'Deurze' (BU16801903) is een buurt in wijk 'Wijk 19 Rolde' in de gemeente 'Aa en Hunze'.","GM1680","BU16801903"
"BU16801908","Verspreide huizen Nooitgedacht","Buurt 'Verspreide huizen Nooitgedacht' (BU16801908) is een buurt in wijk 'Wijk 19 Rolde' in de gemeente 'Aa en Hunze'.","GM1680","BU16801908"
"BU16801909","Verspreide huizen Rolde","Buurt 'Verspreide huizen Rolde' (BU16801909) is een buurt in wijk 'Wijk 19 Rolde' in de gemeente 'Aa en Hunze'.","GM1680","BU16801909"
"WK168020  ","Wijk 20 Grolloo","Wijk 'Wijk 20 Grolloo' (WK168020) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168020"
"BU16802000","Grolloo","Buurt 'Grolloo' (BU16802000) is een buurt in wijk 'Wijk 20 Grolloo' in de gemeente 'Aa en Hunze'.","GM1680","BU16802000"
"BU16802001","Schoonloo","Buurt 'Schoonloo' (BU16802001) is een buurt in wijk 'Wijk 20 Grolloo' in de gemeente 'Aa en Hunze'.","GM1680","BU16802001"
"BU16802008","Verspreide huizen Papenvoort","Buurt 'Verspreide huizen Papenvoort' (BU16802008) is een buurt in wijk 'Wijk 20 Grolloo' in de gemeente 'Aa en Hunze'.","GM1680","BU16802008"
"BU16802009","Verspreide huizen Grolloo","Buurt 'Verspreide huizen Grolloo' (BU16802009) is een buurt in wijk 'Wijk 20 Grolloo' in de gemeente 'Aa en Hunze'.","GM1680","BU16802009"
"WK168021  ","Wijk 21 Ekehaar","Wijk 'Wijk 21 Ekehaar' (WK168021) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168021"
"BU16802100","Ekehaar","Buurt 'Ekehaar' (BU16802100) is een buurt in wijk 'Wijk 21 Ekehaar' in de gemeente 'Aa en Hunze'.","GM1680","BU16802100"
"BU16802101","Amen","Buurt 'Amen' (BU16802101) is een buurt in wijk 'Wijk 21 Ekehaar' in de gemeente 'Aa en Hunze'.","GM1680","BU16802101"
"BU16802109","Verspreide huizen Ekehaar","Buurt 'Verspreide huizen Ekehaar' (BU16802109) is een buurt in wijk 'Wijk 21 Ekehaar' in de gemeente 'Aa en Hunze'.","GM1680","BU16802109"
"GM0358    ","Aalsmeer","Gemeente 'Aalsmeer' (GM0358)","GM0358","GM0358"
"WK035800  ","Wijk 00 Aalsmeer","Wijk 'Wijk 00 Aalsmeer' (WK035800) is een wijk in de gemeente 'Aalsmeer'.","GM0358","WK035800"
"BU03580000","Centrum","Buurt 'Centrum' (BU03580000) is een buurt in wijk 'Wijk 00 Aalsmeer' in de gemeente 'Aalsmeer'.","GM0358","BU03580000"
"BU03580001","Stommeer","Buurt 'Stommeer' (BU03580001) is een buurt in wijk 'Wijk 00 Aalsmeer' in de gemeente 'Aalsmeer'.","GM0358","BU03580001"
"BU03580004","Hornmeer","Buurt 'Hornmeer' (BU03580004) is een buurt in wijk 'Wijk 00 Aalsmeer' in de gemeente 'Aalsmeer'.","GM0358","BU03580004"
"BU03580005","Uiterweg","Buurt 'Uiterweg' (BU03580005) is een buurt in wijk 'Wijk 00 Aalsmeer' in de gemeente 'Aalsmeer'.","GM0358","BU03580005"
"WK035801  ","Wijk 01 Kudelstraat en Kalslagen","Wijk 'Wijk 01 Kudelstraat en Kalslagen' (WK035801) is een wijk in de gemeente 'Aalsmeer'.","GM0358","WK035801"
"BU03580100","Kudelstaart","Buurt 'Kudelstaart' (BU03580100) is een buurt in wijk 'Wijk 01 Kudelstraat en Kalslagen' in de gemeente 'Aalsmeer'.","GM0358","BU03580100"
"WK035802  ","Wijk 02 Oosteinde","Wijk 'Wijk 02 Oosteinde' (WK035802) is een wijk in de gemeente 'Aalsmeer'.","GM0358","WK035802"
"BU03580200","Bovenlanden","Buurt 'Bovenlanden' (BU03580200) is een buurt in wijk 'Wijk 02 Oosteinde' in de gemeente 'Aalsmeer'.","GM0358","BU03580200"
"BU03580201","Greenpark","Buurt 'Greenpark' (BU03580201) is een buurt in wijk 'Wijk 02 Oosteinde' in de gemeente 'Aalsmeer'.","GM0358","BU03580201"
"BU03580205","Oosteinde","Buurt 'Oosteinde' (BU03580205) is een buurt in wijk 'Wijk 02 Oosteinde' in de gemeente 'Aalsmeer'.","GM0358","BU03580205"
"BU03580206","Schinkelpolder","Buurt 'Schinkelpolder' (BU03580206) is een buurt in wijk 'Wijk 02 Oosteinde' in de gemeente 'Aalsmeer'.","GM0358","BU03580206"
"GM0197    ","Aalten","Gemeente 'Aalten' (GM0197)","GM0197","GM0197"
"WK019701  ","Wijk 01 Buitengebied Aalten","Wijk 'Wijk 01 Buitengebied Aalten' (WK019701) is een wijk in de gemeente 'Aalten'.","GM0197","WK019701"
"BU01970101","Barlo-Kern","Buurt 'Barlo-Kern' (BU01970101) is een buurt in wijk 'Wijk 01 Buitengebied Aalten' in de gemeente 'Aalten'.","GM0197","BU01970101"
"BU01970102","Verspreide huizen Barlo","Buurt 'Verspreide huizen Barlo' (BU01970102) is een buurt in wijk 'Wijk 01 Buitengebied Aalten' in de gemeente 'Aalten'.","GM0197","BU01970102"
"BU01970103","Verspreide huizen Heurne","Buurt 'Verspreide huizen Heurne' (BU01970103) is een buurt in wijk 'Wijk 01 Buitengebied Aalten' in de gemeente 'Aalten'.","GM0197","BU01970103"
"BU01970104","Verspreide huizen IJzerlo","Buurt 'Verspreide huizen IJzerlo' (BU01970104) is een buurt in wijk 'Wijk 01 Buitengebied Aalten' in de gemeente 'Aalten'.","GM0197","BU01970104"
"BU01970105","IJzerlo-kern","Buurt 'IJzerlo-kern' (BU01970105) is een buurt in wijk 'Wijk 01 Buitengebied Aalten' in de gemeente 'Aalten'.","GM0197","BU01970105"
"BU01970106","Lintelo-kern","Buurt 'Lintelo-kern' (BU01970106) is een buurt in wijk 'Wijk 01 Buitengebied Aalten' in de gemeente 'Aalten'.","GM0197","BU01970106"
"BU01970107","Verspreide huizen ten westen van Aalten","Buurt 'Verspreide huizen ten westen van Aalten' (BU01970107) is een buurt in wijk 'Wijk 01 Buitengebied Aalten' in de gemeente 'Aalten'.","GM0197","BU01970107"
"BU01970108","Verspreide huizen Lintelo","Buurt 'Verspreide huizen Lintelo' (BU01970108) is een buurt in wijk 'Wijk 01 Buitengebied Aalten' in de gemeente 'Aalten'.","GM0197","BU01970108"
"BU01970109","Verspreide huizen Dalese Veld","Buurt 'Verspreide huizen Dalese Veld' (BU01970109) is een buurt in wijk 'Wijk 01 Buitengebied Aalten' in de gemeente 'Aalten'.","GM0197","BU01970109"
"BU01970110","Verspreide huizen Dale","Buurt 'Verspreide huizen Dale' (BU01970110) is een buurt in wijk 'Wijk 01 Buitengebied Aalten' in de gemeente 'Aalten'.","GM0197","BU01970110"
"BU01970111","Verspreide huizen Haart","Buurt 'Verspreide huizen Haart' (BU01970111) is een buurt in wijk 'Wijk 01 Buitengebied Aalten' in de gemeente 'Aalten'.","GM0197","BU01970111"
"BU01970112","Haart-kern","Buurt 'Haart-kern' (BU01970112) is een buurt in wijk 'Wijk 01 Buitengebied Aalten' in de gemeente 'Aalten'.","GM0197","BU01970112"
"WK019702  ","Wijk 02 Bredevoort","Wijk 'Wijk 02 Bredevoort' (WK019702) is een wijk in de gemeente 'Aalten'.","GM0197","WK019702"
"BU01970201","Verspreide huizen Bredevoort","Buurt 'Verspreide huizen Bredevoort' (BU01970201) is een buurt in wijk 'Wijk 02 Bredevoort' in de gemeente 'Aalten'.","GM0197","BU01970201"
"BU01970202","Verspreide huizen Hollenberg","Buurt 'Verspreide huizen Hollenberg' (BU01970202) is een buurt in wijk 'Wijk 02 Bredevoort' in de gemeente 'Aalten'.","GM0197","BU01970202"
"BU01970203","Verspreide huizen Het Zwanenbroek","Buurt 'Verspreide huizen Het Zwanenbroek' (BU01970203) is een buurt in wijk 'Wijk 02 Bredevoort' in de gemeente 'Aalten'.","GM0197","BU01970203"
"BU01970204","Bredevoort","Buurt 'Bredevoort' (BU01970204) is een buurt in wijk 'Wijk 02 Bredevoort' in de gemeente 'Aalten'.","GM0197","BU01970204"
"WK019703  ","Wijk 03 Aalten Kern","Wijk 'Wijk 03 Aalten Kern' (WK019703) is een wijk in de gemeente 'Aalten'.","GM0197","WK019703"
"BU01970301","Aalten-kern West","Buurt 'Aalten-kern West' (BU01970301) is een buurt in wijk 'Wijk 03 Aalten Kern' in de gemeente 'Aalten'.","GM0197","BU01970301"
"BU01970302","Aalten-kern Zuid 1","Buurt 'Aalten-kern Zuid 1' (BU01970302) is een buurt in wijk 'Wijk 03 Aalten Kern' in de gemeente 'Aalten'.","GM0197","BU01970302"
"BU01970303","Aalten-kern Zuid 2","Buurt 'Aalten-kern Zuid 2' (BU01970303) is een buurt in wijk 'Wijk 03 Aalten Kern' in de gemeente 'Aalten'.","GM0197","BU01970303"
"BU01970304","Aalten-kern Noord/Noordoost","Buurt 'Aalten-kern Noord/Noordoost' (BU01970304) is een buurt in wijk 'Wijk 03 Aalten Kern' in de gemeente 'Aalten'.","GM0197","BU01970304"
"BU01970305","Aalten Kern 't Kobus","Buurt 'Aalten Kern 't Kobus' (BU01970305) is een buurt in wijk 'Wijk 03 Aalten Kern' in de gemeente 'Aalten'.","GM0197","BU01970305"
"BU01970306","Aalten-kern Oost","Buurt 'Aalten-kern Oost' (BU01970306) is een buurt in wijk 'Wijk 03 Aalten Kern' in de gemeente 'Aalten'.","GM0197","BU01970306"
"BU01970307","Aalten-kern Centrum","Buurt 'Aalten-kern Centrum' (BU01970307) is een buurt in wijk 'Wijk 03 Aalten Kern' in de gemeente 'Aalten'.","GM0197","BU01970307"
"WK019704  ","Wijk 04 Dinxperlo","Wijk 'Wijk 04 Dinxperlo' (WK019704) is een wijk in de gemeente 'Aalten'.","GM0197","WK019704"
"BU01970400","Dinxperlo Centrum/Oost","Buurt 'Dinxperlo Centrum/Oost' (BU01970400) is een buurt in wijk 'Wijk 04 Dinxperlo' in de gemeente 'Aalten'.","GM0197","BU01970400"
"BU01970401","Dinxperlo Noord","Buurt 'Dinxperlo Noord' (BU01970401) is een buurt in wijk 'Wijk 04 Dinxperlo' in de gemeente 'Aalten'.","GM0197","BU01970401"
"BU01970402","Dinxperlo West","Buurt 'Dinxperlo West' (BU01970402) is een buurt in wijk 'Wijk 04 Dinxperlo' in de gemeente 'Aalten'.","GM0197","BU01970402"
"BU01970403","De Heurne-kern","Buurt 'De Heurne-kern' (BU01970403) is een buurt in wijk 'Wijk 04 Dinxperlo' in de gemeente 'Aalten'.","GM0197","BU01970403"
"BU01970408","Verspreide huizen Dinxperlo","Buurt 'Verspreide huizen Dinxperlo' (BU01970408) is een buurt in wijk 'Wijk 04 Dinxperlo' in de gemeente 'Aalten'.","GM0197","BU01970408"
"BU01970409","Verspreide huizen De Heurne","Buurt 'Verspreide huizen De Heurne' (BU01970409) is een buurt in wijk 'Wijk 04 Dinxperlo' in de gemeente 'Aalten'.","GM0197","BU01970409"
"GM0059    ","Achtkarspelen","Gemeente 'Achtkarspelen' (GM0059)","GM0059","GM0059"
"WK005900  ","Wijk 00 Noord","Wijk 'Wijk 00 Noord' (WK005900) is een wijk in de gemeente 'Achtkarspelen'.","GM0059","WK005900"
"BU00590000","Buitenpost","Buurt 'Buitenpost' (BU00590000) is een buurt in wijk 'Wijk 00 Noord' in de gemeente 'Achtkarspelen'.","GM0059","BU00590000"
"BU00590001","Twijzel","Buurt 'Twijzel' (BU00590001) is een buurt in wijk 'Wijk 00 Noord' in de gemeente 'Achtkarspelen'.","GM0059","BU00590001"
"BU00590002","Kootstertille","Buurt 'Kootstertille' (BU00590002) is een buurt in wijk 'Wijk 00 Noord' in de gemeente 'Achtkarspelen'.","GM0059","BU00590002"
"BU00590003","Twijzelerheide","Buurt 'Twijzelerheide' (BU00590003) is een buurt in wijk 'Wijk 00 Noord' in de gemeente 'Achtkarspelen'.","GM0059","BU00590003"
"BU00590004","Gerkesklooster","Buurt 'Gerkesklooster' (BU00590004) is een buurt in wijk 'Wijk 00 Noord' in de gemeente 'Achtkarspelen'.","GM0059","BU00590004"
"BU00590005","Verspreide huizen Buitenpost","Buurt 'Verspreide huizen Buitenpost' (BU00590005) is een buurt in wijk 'Wijk 00 Noord' in de gemeente 'Achtkarspelen'.","GM0059","BU00590005"
"BU00590006","Verspreide huizen Twijzel","Buurt 'Verspreide huizen Twijzel' (BU00590006) is een buurt in wijk 'Wijk 00 Noord' in de gemeente 'Achtkarspelen'.","GM0059","BU00590006"
"BU00590007","Verspreide huizen Kootstertille","Buurt 'Verspreide huizen Kootstertille' (BU00590007) is een buurt in wijk 'Wijk 00 Noord' in de gemeente 'Achtkarspelen'.","GM0059","BU00590007"
"BU00590008","Verspreide huizen Twijzelerheide","Buurt 'Verspreide huizen Twijzelerheide' (BU00590008) is een buurt in wijk 'Wijk 00 Noord' in de gemeente 'Achtkarspelen'.","GM0059","BU00590008"
"BU00590009","Verspreide huizen Gerkesklooster","Buurt 'Verspreide huizen Gerkesklooster' (BU00590009) is een buurt in wijk 'Wijk 00 Noord' in de gemeente 'Achtkarspelen'.","GM0059","BU00590009"
"WK005901  ","Wijk 01 Centrum","Wijk 'Wijk 01 Centrum' (WK005901) is een wijk in de gemeente 'Achtkarspelen'.","GM0059","WK005901"
"BU00590100","Stroobos","Buurt 'Stroobos' (BU00590100) is een buurt in wijk 'Wijk 01 Centrum' in de gemeente 'Achtkarspelen'.","GM0059","BU00590100"
"BU00590102","Drogeham","Buurt 'Drogeham' (BU00590102) is een buurt in wijk 'Wijk 01 Centrum' in de gemeente 'Achtkarspelen'.","GM0059","BU00590102"
"BU00590103","Augustinusga","Buurt 'Augustinusga' (BU00590103) is een buurt in wijk 'Wijk 01 Centrum' in de gemeente 'Achtkarspelen'.","GM0059","BU00590103"
"BU00590107","Verspreide huizen Stroobos","Buurt 'Verspreide huizen Stroobos' (BU00590107) is een buurt in wijk 'Wijk 01 Centrum' in de gemeente 'Achtkarspelen'.","GM0059","BU00590107"
"BU00590108","Verspreide huizen Drogeham","Buurt 'Verspreide huizen Drogeham' (BU00590108) is een buurt in wijk 'Wijk 01 Centrum' in de gemeente 'Achtkarspelen'.","GM0059","BU00590108"
"BU00590109","Verspreide huizen Augustinusga","Buurt 'Verspreide huizen Augustinusga' (BU00590109) is een buurt in wijk 'Wijk 01 Centrum' in de gemeente 'Achtkarspelen'.","GM0059","BU00590109"
"WK005902  ","Wijk 02 Zuid","Wijk 'Wijk 02 Zuid' (WK005902) is een wijk in de gemeente 'Achtkarspelen'.","GM0059","WK005902"
"BU00590200","Surhuisterveen","Buurt 'Surhuisterveen' (BU00590200) is een buurt in wijk 'Wijk 02 Zuid' in de gemeente 'Achtkarspelen'.","GM0059","BU00590200"
"BU00590201","Harkema","Buurt 'Harkema' (BU00590201) is een buurt in wijk 'Wijk 02 Zuid' in de gemeente 'Achtkarspelen'.","GM0059","BU00590201"
"BU00590202","Surhuizum","Buurt 'Surhuizum' (BU00590202) is een buurt in wijk 'Wijk 02 Zuid' in de gemeente 'Achtkarspelen'.","GM0059","BU00590202"
"BU00590203","Boelenslaan","Buurt 'Boelenslaan' (BU00590203) is een buurt in wijk 'Wijk 02 Zuid' in de gemeente 'Achtkarspelen'.","GM0059","BU00590203"
"BU00590206","Verspreide huizen Surhuisterveen","Buurt 'Verspreide huizen Surhuisterveen' (BU00590206) is een buurt in wijk 'Wijk 02 Zuid' in de gemeente 'Achtkarspelen'.","GM0059","BU00590206"
"BU00590207","Verspreide huizen Harkema","Buurt 'Verspreide huizen Harkema' (BU00590207) is een buurt in wijk 'Wijk 02 Zuid' in de gemeente 'Achtkarspelen'.","GM0059","BU00590207"
